entry_num,item_zh,item_en,compatibility,reason,pg_num,source
1,麵包;核桃,bread;walnut,good,預防心臟病,57,吃對食物健康100分
2,麵包;萵苣,bread;lettuce,good,促進吸收鐵質,57,吃對食物健康100分
3,麵包;奶酥,bread;butter biscuit||soufflé,bad,熱量過高易發胖,57,吃對食物健康100分
4,麵包;巧克力,bread;chocolate,bad,糖分含量過高,57,吃對食物健康100分
5,麵條;牡蠣,noodle;oyster,good,預防感冒、促進發育,59,吃對食物健康100分
6,麵條;芝麻,noodle;sesame seed,good,調節蛋白質代謝,59,吃對食物健康100分
7,麵條;番茄,noodle;tomato,good,消除疲勞、提高免疫力,59,吃對食物健康100分
8,麵條;鮮蛤蜊,noodle;fresh clam,bad,破壞維生素B1,59,吃對食物健康100分
9,麵條;蘋果,noodle;apple,bad,噁心、腹痛,59,吃對食物健康100分
10,腰果;大蒜,cashew;garlic,good,護膚、集中注意力,60,吃對食物健康100分
11,腰果;蝦仁,cashew;shrimp,good,豐潤毛髮、減輕關節炎疼痛,60,吃對食物健康100分
12,腰果;鮮蛤蜊,cashew;fresh clam,bad,破壞維生素B1,60,吃對食物健康100分
13,腰果;酒,cashew;wine||liqueur,bad,容易形成脂肪肝,60,吃對食物健康100分
14,杏仁;枇杷,almond;loquat,good,防癌、抗老,61,吃對食物健康100分
15,杏仁;牛奶,almond;milk,good,提高免疫力,61,吃對食物健康100分
16,杏仁;麥片,almond;oatmeal,bad,干擾鈣質吸收,61,吃對食物健康100分
17,杏仁;醋,almond;vinegar,bad,營養價值流失,61,吃對食物健康100分
18,薏仁;龍眼,job's tear||pearl barley;longan,good,改善皮膚乾燥與粗燥,62,吃對食物健康100分
19,薏仁;紅豆,job's tear||pearl barley;azuki bean||adzuki bean,good,預防貧血、刺激食慾,62,吃對食物健康100分
20,薏仁;海帶,job's tear||pearl barley;kelp,bad,靜脈曲張、瘀血,62,吃對食物健康100分
21,燕麥;黃豆,oatmeal;soybean,good,幫助成長發育,63,吃對食物健康100分
22,燕麥;香菇,oatmeal;mushroom,good,防癌、抗老,63,吃對食物健康100分
23,燕麥;菠菜,oatmeal;spinach,bad,阻礙鈣質的攝取,63,吃對食物健康100分
24,芝麻;蔥,sesame seed;scallion||green onion,good,護膚、集中注意力,64,吃對食物健康100分
25,芝麻;檸檬,sesame seed;lemon,good,紅潤臉色、預防貧血,64,吃對食物健康100分
26,芝麻;巧克力,sesame seed;chocolate,bad,影響吸收、消化,64,吃對食物健康100分
27,芝麻;豬肉,sesame seed;pork,bad,影響蛋白質的消化,64,吃對食物健康100分
28,蓮子;花生,lotus seed;peanut,good,幫助骨骼成長,65,吃對食物健康100分
29,蓮子;白木耳,lotus seed;white fungus||white wood ear,good,強健骨骼、牙齒,65,吃對食物健康100分
30,蓮子;麥片,lotus seed;oatmeal,bad,影響鈣質吸收,65,吃對食物健康100分
31,蓮子;黃豆,lotus seed;soybean,bad,腹瀉、腹脹,65,吃對食物健康100分
32,糙米;芝麻,brown rice;sesame seed,good,維持皮膚健康、預防動脈硬化,66,吃對食物健康100分
33,糙米;南瓜,brown rice;pumpkin,good,預防貧血、疲勞,66,吃對食物健康100分
34,糙米;羊肉,brown rice;lamb||mutton,bad,使蛋白質的消化困難,66,吃對食物健康100分
35,糙米;牛肝,brown rice;beef liver,bad,阻礙對礦物質的攝取,66,吃對食物健康100分
36,小米;黃豆,millet;soybean,good,保健眼睛與皮膚,67,吃對食物健康100分
37,小米;胡蘿蔔,millet;carrot,good,延遲老化,67,吃對食物健康100分
38,小米;醋,millet;vinegar,bad,營養價值流失,67,吃對食物健康100分
39,小米;蛋,millet;egg,bad,引起腸胃病,67,吃對食物健康100分
40,粳米;山藥,japonica rice;chinese yam||common yam,good,預防貧血、消除疲勞,69,吃對食物健康100分
41,粳米;香菇,japonica rice;mushroom,good,對骨骼與牙齒有益,69,吃對食物健康100分
42,粳米;青菜,japonica rice;vegetable,good,促進成長發育,69,吃對食物健康100分
43,粳米;牛肉,japonica rice;beef,bad,不利消化,69,吃對食物健康100分
44,粳米;豬肝,japonica rice;pork liver,bad,阻礙人體吸收鐵質,69,吃對食物健康100分
45,糯米;蓮子,glutinous rice||sticky rice;lotus seed,good,幫助骨骼發育,71,吃對食物健康100分
46,糯米;百合,glutinous rice||sticky rice;lily bulb||lily bud,good,改善氣色、消除疲勞,71,吃對食物健康100分
47,黑糯米;葵瓜子,black glutinous rice||black sticky rice;sunflower seed,good,刺激食慾、幫助成長,71,吃對食物健康100分
48,糯米;蘋果,glutinous rice||sticky rice;apple,bad,產生不易消化的物質,71,吃對食物健康100分
49,糯米;生蛋白,glutinous rice||sticky rice;raw egg white,bad,降低營養價值,71,吃對食物健康100分
50,花生;蝦仁,peanut;shrimp,good,強健骨骼、牙齒,73,吃對食物健康100分
51,花生;魩仔魚,peanut;whitebait,good,強化對鈣質的吸收,73,吃對食物健康100分
52,花生;瘦豬肉,peanut;lean pork,good,使皮膚恢復血色,73,吃對食物健康100分
53,花生;粳米,peanut;japonica rice,bad,誘發腸胃疾病,73,吃對食物健康100分
54,花生;牛油,peanut;beef tallow||beef lard,bad,容易消化不良,73,吃對食物健康100分
55,栗子;柚子,chestnut;pomelo||grapefruit,good,預防感冒、幫助傷口癒合,74,吃對食物健康100分
56,栗子;玉米,chestnut;corn,good,促進腸胃蠕動,74,吃對食物健康100分
57,栗子;牛肉,chestnut;beef,bad,使維生素C氧化、失去營養價值,74,吃對食物健康100分
58,栗子;黃豆,chestnut;soybean,bad,腹瀉、腹脹,74,吃對食物健康100分
59,松子;牛肉,pine nut;beef,good,防止動脈硬化,75,吃對食物健康100分
60,松子;芒果,pine nut;mango,good,防老、抗癌,75,吃對食物健康100分
61,松子;黃豆,pine nut;soybean,bad,阻礙蛋白質吸收,75,吃對食物健康100分
62,松子;酒,pine nut;wine||liqueur,bad,形成脂肪肝,75,吃對食物健康100分
63,蕎麥;蛋,buckwheat||soba;egg,good,維持皮膚、神經系統健康,76,吃對食物健康100分
64,蕎麥;蟹,buckwheat||soba;crab,good,維持骨骼、牙齒的健康,76,吃對食物健康100分
65,蕎麥;海帶,buckwheat||soba;kelp,bad,易靜脈曲張、瘀血,76,吃對食物健康100分
66,蕎麥;鮮蛤蜊,buckwheat||soba;fresh clam,bad,失去營養價值,76,吃對食物健康100分
67,高麗菜;豬肉,cabbage;pork,good,恢復肌膚彈性、預防斑點,79,吃對食物健康100分
68,高麗菜;竹筍,cabbage;bamboo shoot,good,促進血液循環,79,吃對食物健康100分
69,高麗菜;美乃滋,cabbage;mayonnaise,good,護膚、防老、抗癌,79,吃對食物健康100分
70,高麗菜;小黃瓜,cabbage;cucumber,bad,破壞維生素C,79,吃對食物健康100分
71,高麗菜;蜂蜜,cabbage;honey,bad,營養價值降低,79,吃對食物健康100分
72,大白菜;番茄,napa cabbage||chinese cabbage;tomato,good,預防感冒、舒緩情緒,82,吃對食物健康100分
73,大白菜;乳酪,napa cabbage||chinese cabbage;cheese,good,預防骨骼疏鬆,82,吃對食物健康100分
74,大白菜;美乃滋,napa cabbage||chinese cabbage;mayonnaise,good,護膚美顏、防癌抗老,82,吃對食物健康100分
75,大白菜;瘦肉,napa cabbage||chinese cabbage;lean meat,good,美白肌膚、消除疲勞,82,吃對食物健康100分
76,大白菜;蛋,napa cabbage||chinese cabbage;egg,bad,加速維生素C氧化,82,吃對食物健康100分
77,大白菜;小黃瓜,napa cabbage||chinese cabbage;cucumber,bad,營養價值降低,82,吃對食物健康100分
78,大白菜;豬肝,napa cabbage||chinese cabbage;pork liver,bad,維生素C被氧化,82,吃對食物健康100分
79,青江菜;芥花油,bok choy;canola oil,good,護膚、抗癌、降膽固醇,83,吃對食物健康100分
80,青江菜;芝麻油,bok choy;sesame seed oil,good,保護眼睛、防癌,83,吃對食物健康100分
81,青江菜;竹筍,bok choy;bamboo shoot,bad,破壞維生素C,83,吃對食物健康100分
82,青江菜;豆腐,bok choy;tofu,bad,影響人體吸收鈣質,83,吃對食物健康100分
83,空心菜;蛋,water spinach;egg,good,護眼、防癌、抗老,85,吃對食物健康100分
84,空心菜;橄欖油,water spinach;olive oil,good,防止老化,85,吃對食物健康100分
85,空心菜;雞肉,water spinach;chicken,good,降低對膽固醇的吸收,85,吃對食物健康100分
86,空心菜;乳酪,water spinach;cheese,bad,阻礙鈣質吸收,85,吃對食物健康100分
87,空心菜;枸杞,water spinach;goji berry||wolfberry,bad,鉀含量過高,85,吃對食物健康100分
88,地瓜葉;瘦肉,sweet potato leaf;lean meat,good,降低對膽固醇的吸收,86,吃對食物健康100分
89,地瓜葉;大蒜,sweet potato leaf;garlic,good,消除疲勞、護膚,86,吃對食物健康100分
90,地瓜葉;豬肝,sweet potato leaf;pork liver,bad,干擾人體吸收礦物質,86,吃對食物健康100分
91,地瓜葉;鮮蛤蜊,sweet potato leaf;fresh clam,bad,破壞維生素B1,86,吃對食物健康100分
92,芹菜;章魚,celery;octopus,good,強心肝、降膽固醇,87,吃對食物健康100分
93,芹菜;橄欖油,celery;olive oil,good,護眼、抗癌,87,吃對食物健康100分
94,芹菜;生蛤蜊,celery;raw clam,bad,破壞維生素B1,87,吃對食物健康100分
95,芹菜;蜂蜜,celery;honey,bad,容易腹瀉,87,吃對食物健康100分
96,菠菜;大蒜,spinach;garlic,good,消除疲勞,89,吃對食物健康100分
97,菠菜;海帶,spinach;kelp,good,有益於骨骼牙齒,89,吃對食物健康100分
98,菠菜;蛋,spinach;egg,good,維持鈣與磷的平衡,89,吃對食物健康100分
99,菠菜;核桃,spinach;walnut,bad,易引起結石,89,吃對食物健康100分
100,菠菜;乳酪,spinach;cheese,bad,影響鈣質吸收,89,吃對食物健康100分
